"option_left"	"option_right"	"pic_left"	"pic_right"	"reward_stim_1"	"reward_stim_2"	"comp_number"	"trial_type"	"free_choice"	"forced_left"	"forced_right"	"with_rating"	"rt_fix_durat"	"with_block_break"	"with_new_instr"	"task_version"	"block_n"	"is_rare"	"bad_forced"
2	3	"stimuli/s3.png"	"stimuli/s4.png"	61	73	1	"forced"	0	0	1	0	0	0	0	2	3	0	1
1	3	"stimuli/s1.png"	"stimuli/s4.png"	54	83	1	"choice"	1	0	0	0	0	0	0	2	3	0	0
1	2	"stimuli/s1.png"	"stimuli/s3.png"	46	68	1	"choice"	1	0	0	0	0	0	0	2	3	0	0
2	1	"stimuli/s3.png"	"stimuli/s1.png"	36	39	38	"choice"	1	0	0	0	0.5	0	0	2	3	1	0
2	1	"stimuli/s3.png"	"stimuli/s1.png"	68	52	3	"choice"	1	0	0	0	0	0	0	2	3	0	0
1	2	"stimuli/s1.png"	"stimuli/s3.png"	42	69	4	"forced"	0	0	1	0	0	0	0	2	3	0	0
2	3	"stimuli/s3.png"	"stimuli/s4.png"	73	72	2	"choice"	1	0	0	0	0	0	0	2	3	0	0
2	1	"stimuli/s3.png"	"stimuli/s1.png"	65	41	5	"forced"	0	0	1	0	0	0	0	2	3	0	1
1	3	"stimuli/s1.png"	"stimuli/s4.png"	55	80	2	"choice"	1	0	0	0	0	0	0	2	3	0	0
2	1	"stimuli/s3.png"	"stimuli/s1.png"	73	47	6	"choice"	1	0	0	0	0	0	0	2	3	0	0
2	3	"stimuli/s3.png"	"stimuli/s4.png"	81	79	3	"choice"	1	0	0	1	0.5	0	0	2	3	0	0
3	1	"stimuli/s4.png"	"stimuli/s1.png"	80	45	3	"choice"	1	0	0	0	0	0	0	2	3	0	0
3	2	"stimuli/s4.png"	"stimuli/s3.png"	86	64	4	"choice"	1	0	0	0	0	0	0	2	3	0	0
3	1	"stimuli/s4.png"	"stimuli/s1.png"	70	44	4	"choice"	1	0	0	0	0	0	0	2	3	0	0
2	1	"stimuli/s3.png"	"stimuli/s1.png"	68	50	7	"choice"	1	0	0	0	0	0	0	2	3	0	0
2	1	"stimuli/s3.png"	"stimuli/s1.png"	69	51	8	"choice"	1	0	0	0	0	0	0	2	3	0	0
1	2	"stimuli/s1.png"	"stimuli/s3.png"	45	75	9	"choice"	1	0	0	0	0	0	0	2	3	0	0
3	1	"stimuli/s4.png"	"stimuli/s1.png"	79	37	5	"choice"	1	0	0	0	0	0	0	2	3	0	0
1	3	"stimuli/s1.png"	"stimuli/s4.png"	40	80	6	"forced"	0	0	1	0	0	0	0	2	3	0	0
3	2	"stimuli/s4.png"	"stimuli/s3.png"	86	70	5	"choice"	1	0	0	0	0	0	0	2	3	0	0
